,code,name,market,sector,nikkei225,stock
430,2687,(株)シー・ヴイ・エス・ベイエリア,東証1部,小売業,,0
431,2689,(株)カワニシホールディングス,東証2部,卸売業,,0
432,2692,伊藤忠食品(株),東証1部,卸売業,,0
433,2693,ＹＫＴ(株),東証JQS,卸売業,,0
434,2694,(株)ジー・テイスト,東証JQS,小売業,,0
435,2695,くら寿司(株),東証1部,小売業,,0
436,2698,(株)キャンドゥ,東証1部,小売業,,0
437,2700,木徳神糧(株),東証JQS,卸売業,,0
438,2702,日本マクドナルドホールディングス(株),東証JQS,小売業,,0
439,2705,(株)大戸屋ホールディングス,東証JQS,小売業,,0
440,2706,(株)ブロッコリー,東証JQS,その他製品,,0
441,2708,(株)久世,東証JQS,卸売業,,0
442,2714,プラマテルズ(株),東証JQS,卸売業,,0
443,2715,エレマテック(株),東証1部,卸売業,,0
444,2721,(株)ジェイホールディングス,東証JQS,卸売業,,0
445,2722,(株)アイケイ,東証2部,小売業,,0
446,2726,(株)パルグループホールディングス,東証1部,小売業,,0
447,2729,(株)ＪＡＬＵＸ,東証1部,卸売業,,0
448,2730,(株)エディオン,東証1部,小売業,,0
449,2733,(株)あらた,東証1部,卸売業,,0
450,2734,(株)サーラコーポレーション,東証1部,小売業,,0
451,2735,(株)ワッツ,東証1部,小売業,,0
452,2736,フェスタリアホールディングス(株),東証JQS,小売業,,0
453,2737,(株)トーメンデバイス,東証1部,卸売業,,0
454,2742,(株)ハローズ,東証1部,小売業,,0
455,2743,ピクセルカンパニーズ(株),東証JQS,卸売業,,0
456,2747,北雄ラッキー(株),東証JQS,小売業,,0
457,2749,(株)ＪＰホールディングス,東証1部,サービス業,,0
458,2750,石光商事(株),東証JQS,卸売業,,0
459,2751,(株)テンポスホールディングス,東証JQS,卸売業,,0
460,2752,(株)フジオフードシステム,東証1部,小売業,,0
461,2753,(株)あみやき亭,東証1部,小売業,,0
462,2754,(株)東葛ホールディングス,東証JQS,小売業,,0
463,2760,東京エレクトロン　デバイス(株),東証1部,卸売業,,0
464,2761,トシン・グループ(株),東証JQS,卸売業,,0
465,2762,(株)三光マーケティングフーズ,東証2部,小売業,,0
466,2763,(株)エフティグループ,東証JQS,卸売業,,0
467,2764,(株)ひらまつ,東証1部,小売業,,0
468,2767,フィールズ(株),東証1部,卸売業,,0
469,2768,双日(株),東証1部,卸売業,1.0,1
470,2769,(株)ヴィレッジヴァンガードコーポレーション,東証JQS,小売業,,0
471,2773,(株)ミューチュアル,東証JQS,機械,,0
472,2776,新都ホールディングス(株),東証JQS,卸売業,,0
473,2777,(株)カッシーナ・イクスシー,東証JQS,卸売業,,0
474,2778,パレモ・ホールディングス(株),東証2部,小売業,,0
475,2780,(株)コメ兵,東証2部,小売業,,0
476,2782,(株)セリア,東証JQS,小売業,,0
477,2784,アルフレッサ　ホールディングス(株),東証1部,卸売業,,0
478,2788,アップルインターナショナル(株),東証2部,卸売業,,0
479,2789,(株)カルラ,東証JQS,小売業,,0
